0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:14 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:25 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:41 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:56 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:37:16 +0530] "POST /e-learning-frontend/feedback HTTP/1.1" 500 1241
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:37:58 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:37:59 +0530] "GET /e-learning-frontend/loginuser.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:38:12 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:38:22 +0530] "POST /e-learning-frontend/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:38:22 +0530] "GET /e-learning-frontend/afteruserlogin.jsp HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:38:24 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:38:47 +0530] "POST /e-learning-frontend/feedback HTTP/1.1" 500 1241
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:39:26 +0530] "POST /e-learning-frontend/feedback HTTP/1.1" 500 1241
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:39:28 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:39:46 +0530] "POST /e-learning-frontend/feedback HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:41:11 +0530] "GET /e-learning-frontend/feedbackdisplay.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:49:43 +0530] "GET /e-learning-frontend/ HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:49:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:49:53 +0530] "GET /e-learning-frontend/contactdisplay.jsp HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:50:32 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:51:26 +0530] "POST /e-learning-frontend/contact HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:51:26 +0530] "GET /e-learning-frontend/contact.jsp HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:51:34 +0530] "GET /e-learning-frontend/contactdisplay.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:52:07 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:55:09 +0530] "GET /e-learning-frontend/contactdisplay.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:55:10 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5818
