127.0.0.1 - - [22/Aug/2021:17:36:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:36:21 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:39:00 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:39:56 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:41:50 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:42:20 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:42:46 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:43:14 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:43:58 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:54:01 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:57:21 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:57:36 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:58:07 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:58:24 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:58:56 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [22/Aug/2021:17:59:23 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:01:35 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:02:10 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:02:46 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:03:05 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:04:26 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:04:46 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:05:01 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:05:28 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:05:52 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [22/Aug/2021:18:06:19 +0530] "GET /elearning-frontend/ HTTP/1.1" 200 1482
